Description,Date,F.13-17,F.18-24,F.25-34,F.35-44,F.45-54,F.55-64,F.65+,M.13-17,M.18-24,M.25-34,M.35-44,M.45-54,M.55-64,M.65+,U.35-44,U.45-54
Lifetime Aggregated demographic data about the people who like your Page based on the age and gender information they provide in their user profiles. (Unique Users),3/1/13,2,10,5,6,3,1,1,2,71,25,6,1,1,2,1,1
,3/2/13,2,10,5,6,3,1,1,2,71,25,6,1,1,2,1,1
,3/3/13,2,10,5,6,3,1,1,3,72,25,6,1,1,2,1,1
,3/4/13,2,10,5,6,3,1,1,3,73,25,6,1,1,2,1,1
,3/5/13,2,10,5,6,3,1,1,3,73,25,6,1,1,2,1,1
,3/6/13,2,10,5,6,3,1,1,3,71,26,6,1,1,2,1,1
,3/7/13,2,10,5,6,3,1,1,3,71,26,6,1,1,2,1,1
,3/8/13,2,10,5,6,3,1,1,2,72,26,6,1,1,2,1,1
,3/9/13,2,10,5,6,3,1,1,1,74,25,6,1,1,2,1,1
,3/10/13,2,10,5,6,3,1,1,1,75,25,6,1,1,2,1,1
,3/11/13,2,10,5,6,3,1,1,1,76,25,6,1,1,2,1,1
,3/12/13,2,10,5,6,3,1,1,1,76,25,6,1,1,2,1,1
,3/13/13,2,10,5,6,3,1,1,1,78,25,6,1,1,2,1,1
,3/14/13,2,10,5,6,3,1,1,1,78,25,6,1,1,2,1,1
,3/15/13,2,10,5,6,3,1,1,1,78,25,6,1,1,2,1,1
,3/16/13,2,10,5,6,3,1,1,1,78,25,6,1,1,2,1,1
,3/17/13,2,10,5,6,3,1,1,1,79,25,6,1,1,2,1,1
,3/18/13,2,10,5,6,3,1,1,2,80,25,6,1,1,2,1,1
,3/19/13,1,11,5,6,3,1,1,2,80,25,6,1,1,2,1,1
,3/20/13,1,12,5,6,3,1,1,2,80,26,6,1,1,2,1,1
,3/21/13,1,12,5,6,3,1,1,2,80,26,6,1,1,2,1,1
,3/22/13,1,12,5,6,3,1,1,2,81,26,6,1,1,2,1,1
,3/23/13,1,13,5,6,3,1,1,2,81,26,6,1,1,2,1,1
