Date,Daily People Talking About This,Weekly People Talking About This,28 days People Talking About This,Daily Page stories,Weekly Page stories,28 days Page stories,Lifetime Total likes,Daily New likes,Daily Unlikes,Daily Friends of Fans,Daily Page engaged users,Weekly Page engaged users,28 days Page engaged users,Daily Total reach,Weekly Total reach,28 days Total reach,Daily Organic reach,Weekly Organic reach,28 days Organic reach,Daily Paid reach,Weekly Paid reach,28 days Paid reach,Daily Viral reach,Weekly Viral reach,28 days Viral reach,Daily Total impressions,Weekly Total impressions,28 days Total impressions,Daily Organic impressions,Weekly Organic impressions,28 days Organic impressions,Daily Paid impressions,Weekly Paid impressions,28 days Paid impressions,Daily Viral impressions,Weekly Viral impressions,28 days Viral impressions,Daily Logged-in page views,Weekly Logged-in page views,Daily Logged-in page views,Weekly Logged-in page views,Daily Reach of page posts,Weekly Reach of page posts,28 days Reach of page posts,Daily Organic reach of page posts,Weekly Organic reach of page posts,28 days Organic reach of page posts,Daily Paid reach of page posts,Weekly Paid reach of page posts,28 days Paid reach of page posts,Daily Viral reach of page posts,Weekly Viral reach of page posts,28 days Viral reach of page posts,Daily Total Impressions of your posts,Weekly Total Impressions of your posts,28 days Total Impressions of your posts,Daily Organic impressions of your posts,Weekly Organic impressions of your posts,28 days Organic impressions of your posts,Daily Paid impressions of your posts,Weekly Paid impressions of your posts,28 days Paid impressions of your posts,Daily Viral impressions of your posts,Weekly Viral impressions of your posts,28 days Viral impressions of your posts,Daily Total Consumers,Weekly Total Consumers,28 days Total Consumers,Daily Page consumptions,Weekly Page consumptions,28 days Page consumptions,Daily Negative feedback,Weekly Negative feedback,28 days Negative feedback,Daily Negative feedback from users,Weekly Negative feedback from users,28 days Negative feedback from users,Daily Total check-ins,Weekly Total check-ins,28 days Total check-ins,Daily Total check-ins,Weekly Total check-ins,28 days Total check-ins,Daily Total check-ins using mobile devices,Weekly Total check-ins using mobile devices,28 days Total check-ins using mobile devices,Daily Total check-ins using mobile devices,Weekly Total check-ins using mobile devices,28 days Total check-ins using mobile devices
,"Daily The number of people sharing stories about your page. These stories include liking your Page, posting to your Page's Timeline, liking, commenting on or sharing one of your Page posts, answering a question you posted, responding to one of your events, mentioning your Page, tagging your Page in a photo or checking in at your location. (Unique Users)","Weekly The number of people sharing stories about your page. These stories include liking your Page, posting to your Page's Timeline, liking, commenting on or sharing one of your Page posts, answering a question you posted, responding to one of your events, mentioning your Page, tagging your Page in a photo or checking in at your location. (Unique Users)","28 days The number of people sharing stories about your page. These stories include liking your Page, posting to your Page's Timeline, liking, commenting on or sharing one of your Page posts, answering a question you posted, responding to one of your events, mentioning your Page, tagging your Page in a photo or checking in at your location. (Unique Users)",Daily The number of stories created about your Page. (Total count),Weekly The number of stories created about your Page. (Total count),28 days The number of stories created about your Page. (Total count),Lifetime The total number of people who have liked your Page. (Unique Users),Daily The number of new people who have liked your Page (Unique Users),Daily The number of Unlikes of your Page (Unique Users),Daily The number of people who are friends with people who liked your Page (estimated). (Unique Users),Daily The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),Weekly The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),28 days The number of people who engaged with your Page. Engagement includes any click or story created. (Unique Users),Daily The number of people who have seen any content associated with your Page. (Unique Users),Weekly The number of people who have seen any content associated with your Page. (Unique Users),28 days The number of people who have seen any content associated with your Page. (Unique Users),"Daily The number of people who visited your Page, or saw your Page or one of its posts in News Feed or ticker. These can be people who have liked your Page and people who haven't. (Unique Users)","Weekly The number of people who visited your Page, or saw your Page or one of its posts in News Feed or ticker. These can be people who have liked your Page and people who haven't. (Unique Users)","28 days The number of people who visited your Page, or saw your Page or one of its posts in News Feed or ticker. These can be people who have liked your Page and people who haven't. (Unique Users)",Daily The number of people who saw a Sponsored Story or advert pointing to your Page. (Unique Users),Weekly The number of people who saw a Sponsored Story or advert pointing to your Page. (Unique Users),28 days The number of people who saw a Sponsored Story or advert pointing to your Page. (Unique Users),"Daily The number of people who saw your Page or one of its posts from a story shared by a Friend. These stories include liking your Page, posting to your Page's Timeline, liking, commenting on or sharing one of your Page posts, answering a question you posted, responding to one of your events, mentioning your Page, tagging your Page in a photo or checking in at your location. (Unique Users)","Weekly The number of people who saw your Page or one of its posts from a story shared by a Friend. These stories include liking your Page, posting to your Page's Timeline, liking, commenting on or sharing one of your Page posts, answering a question you posted, responding to one of your events, mentioning your Page, tagging your Page in a photo or checking in at your location. (Unique Users)","28 days The number of people who saw your Page or one of its posts from a story shared by a Friend. These stories include liking your Page, posting to your Page's Timeline, liking, commenting on or sharing one of your Page posts, answering a question you posted, responding to one of your events, mentioning your Page, tagging your Page in a photo or checking in at your location. (Unique Users)",Daily The number of impressions seen of any content associated with your Page. (Total count),Weekly The number of impressions seen of any content associated with your Page. (Total count),28 days The number of impressions seen of any content associated with your Page. (Total count),Daily The number of times your posts were seen in News Feed or ticker or on visits to your Page. These impressions can be by people who have liked your Page and people who haven't. (Total count),Weekly The number of times your posts were seen in News Feed or ticker or on visits to your Page. These impressions can be by people who have liked your Page and people who haven't. (Total count),28 days The number of times your posts were seen in News Feed or ticker or on visits to your Page. These impressions can be by people who have liked your Page and people who haven't. (Total count),Daily The number of impressions of a Sponsored Story or Advert pointing to your Page. (Total count),Weekly The number of impressions of a Sponsored Story or Advert pointing to your Page. (Total count),28 days The number of impressions of a Sponsored Story or Advert pointing to your Page. (Total count),"Daily The number of impressions of a story published by a friend about your Page. These stories include liking your Page, posting to your Page's Wall, liking, commenting on or sharing one of your Page posts, answering a Question you posted, RSVPing to one of your events, mentioning your Page, phototagging your Page or checking in at your Place. (Total count)","Weekly The number of impressions of a story published by a friend about your Page. These stories include liking your Page, posting to your Page's Wall, liking, commenting on or sharing one of your Page posts, answering a Question you posted, RSVPing to one of your events, mentioning your Page, phototagging your Page or checking in at your Place. (Total count)","28 days The number of impressions of a story published by a friend about your Page. These stories include liking your Page, posting to your Page's Wall, liking, commenting on or sharing one of your Page posts, answering a Question you posted, RSVPing to one of your events, mentioning your Page, phototagging your Page or checking in at your Place. (Total count)",Daily Page views from users logged into Facebook (Total count),Weekly Page views from users logged into Facebook (Total count),Daily Page views from users logged into Facebook (Unique Users),Weekly Page views from users logged into Facebook (Unique Users),Daily The number of people who saw any of your Page posts. (Unique Users),Weekly The number of people who saw any of your Page posts. (Unique Users),28 days The number of people who saw any of your Page posts. (Unique Users),"Daily The number of people who saw your Page posts in News Feed or ticker, or on your Page's Timeline. (Unique Users)","Weekly The number of people who saw your Page posts in News Feed or ticker, or on your Page's Timeline. (Unique Users)","28 days The number of people who saw your Page posts in News Feed or ticker, or on your Page's Timeline. (Unique Users)",Daily The number of people who saw your Page posts in an advert or Sponsored Story. (Unique Users),Weekly The number of people who saw your Page posts in an advert or Sponsored Story. (Unique Users),28 days The number of people who saw your Page posts in an advert or Sponsored Story. (Unique Users),Daily The number of people who saw your Page posts through a story shared by a friend. (Unique Users),Weekly The number of people who saw your Page posts through a story shared by a friend. (Unique Users),28 days The number of people who saw your Page posts through a story shared by a friend. (Unique Users),Daily The number of impressions that came from all of your posts. (Total count),Weekly The number of impressions that came from all of your posts. (Total count),28 days The number of impressions that came from all of your posts. (Total count),Daily The number of impressions of your posts in News Feed or ticker or on your Page. (Total count),Weekly The number of impressions of your posts in News Feed or ticker or on your Page. (Total count),28 days The number of impressions of your posts in News Feed or ticker or on your Page. (Total count),Daily The number of impressions of your Page posts in an Advert or Sponsored Story. (Total count),Weekly The number of impressions of your Page posts in an Advert or Sponsored Story. (Total count),28 days The number of impressions of your Page posts in an Advert or Sponsored Story. (Total count),Daily The number of times users saw your posts via stories published by their friends. (Total count),Weekly The number of times users saw your posts via stories published by their friends. (Total count),28 days The number of times users saw your posts via stories published by their friends. (Total count),"Daily The number of people who clicked on any of your content. Clicks that create stories are included in ""Other Clicks."" Stories that are created without clicking on Page content (e.g., liking the Page from Timeline) are not included. (Unique Users)","Weekly The number of people who clicked on any of your content. Clicks that create stories are included in ""Other Clicks."" Stories that are created without clicking on Page content (e.g., liking the Page from Timeline) are not included. (Unique Users)","28 days The number of people who clicked on any of your content. Clicks that create stories are included in ""Other Clicks."" Stories that are created without clicking on Page content (e.g., liking the Page from Timeline) are not included. (Unique Users)","Daily The number of clicks on any of your content. Clicks generating stories are included in ""Other Clicks."" Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total count)","Weekly The number of clicks on any of your content. Clicks generating stories are included in ""Other Clicks."" Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total count)","28 days The number of clicks on any of your content. Clicks generating stories are included in ""Other Clicks."" Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total count)",Daily The number of people who have given negative feedback to your Page. (Unique Users),Weekly The number of people who have given negative feedback to your Page. (Unique Users),28 days The number of people who have given negative feedback to your Page. (Unique Users),Daily The number of times people have given negative feedback to your Page. (Total count),Weekly The number of times people have given negative feedback to your Page. (Total count),28 days The number of times people have given negative feedback to your Page. (Total count),Daily Total check-ins at your Place (Total count),Weekly Total check-ins at your Place (Total count),28 days Total check-ins at your Place (Total count),Daily Total check-ins at your Place (Unique Users),Weekly Total check-ins at your Place (Unique Users),28 days Total check-ins at your Place (Unique Users),Daily Total check-ins at your Place using mobile devices (Total count),Weekly Total check-ins at your Place using mobile devices (Total count),28 days Total check-ins at your Place using mobile devices (Total count),Daily Total check-ins at your Place using mobile devices (Unique Users),Weekly Total check-ins at your Place using mobile devices (Unique Users),28 days Total check-ins at your Place using mobile devices (Unique Users)
3/1/13,2,14,28,2,15,40,138,1,0,36659,10,41,78,122,254,426,73,102,142,0,0,0,51,165,305,452,1783,4354,362,1383,3498,0,0,0,88,366,751,2,34,1,17,73,103,149,73,102,142,0,0,0,0,1,7,362,1386,3518,362,1383,3498,0,0,0,0,3,20,9,34,66,10,47,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/13,0,13,28,0,13,40,138,0,0,37118,3,40,77,23,249,426,10,105,142,0,0,0,13,156,306,77,1815,4287,58,1427,3429,0,0,0,15,350,751,4,38,3,20,10,106,147,10,105,142,0,0,0,0,1,5,58,1430,3441,58,1427,3429,0,0,0,0,3,12,3,34,65,7,53,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/13,2,13,30,2,13,42,140,2,0,37071,4,41,78,62,281,465,20,106,144,0,0,0,44,188,344,214,1955,4485,104,1499,3529,0,0,0,105,418,845,5,38,3,21,20,106,148,20,106,144,0,0,0,0,0,4,104,1499,3536,104,1499,3529,0,0,0,0,0,7,2,34,64,9,60,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/13,2,13,32,2,13,44,141,2,1,38177,4,40,77,29,269,470,9,102,142,0,0,0,21,179,353,107,1847,4287,73,1418,3315,0,0,0,31,392,868,3,37,2,18,9,102,144,9,102,142,0,0,0,0,0,2,73,1418,3319,73,1418,3315,0,0,0,0,0,4,2,33,62,2,59,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/13,0,11,32,0,11,44,141,0,0,38299,14,46,83,67,265,477,64,108,147,0,0,0,4,168,354,221,2012,4469,210,1602,3491,0,0,0,4,367,867,7,43,5,20,64,108,149,64,108,147,0,0,0,0,0,2,210,1602,3495,210,1602,3491,0,0,0,0,0,4,13,41,68,21,79,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/13,1,11,32,1,12,45,140,0,0,38299,4,47,81,63,264,476,55,117,147,0,0,0,8,160,354,235,2206,4557,217,1799,3577,0,0,0,12,360,868,6,47,3,20,55,117,149,55,117,147,0,0,0,0,0,2,217,1799,3581,217,1799,3577,0,0,0,0,0,4,4,42,66,6,85,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/13,0,6,31,0,7,34,140,0,0,38317,0,33,78,15,237,481,7,113,149,0,0,0,8,134,357,47,1353,4342,33,1057,3368,0,0,0,13,268,870,1,28,1,16,7,113,151,7,113,149,0,0,0,0,0,2,33,1057,3372,33,1057,3368,0,0,0,0,0,4,0,28,64,0,55,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/13,0,5,31,0,5,34,140,0,0,38767,1,27,79,10,191,483,1,105,150,0,0,0,9,97,360,20,921,4356,6,701,3372,0,0,0,13,193,879,1,27,1,16,1,105,152,1,105,150,0,0,0,0,0,2,6,701,3376,6,701,3372,0,0,0,0,0,4,1,23,65,1,46,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9/13,0,5,31,0,5,34,140,0,0,,1,25,79,7,182,482,1,103,150,0,0,0,6,88,359,12,856,4364,5,648,3377,0,0,0,6,184,881,1,24,1,13,1,103,151,1,103,150,0,0,0,0,0,1,5,648,3380,5,648,3377,0,0,0,0,0,3,1,21,65,4,43,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
