,solar,wind,temp,month,day,airoz
1,190,7.4,67,5,1,41.00
2,118,8,72,5,2,36.00
3,149,12.6,74,5,3,12.00
4,313,11.5,62,5,4,18.00
5,299,8.6,65,5,7,23.00
6,99,13.8,59,5,8,19.00
7,19,20.1,61,5,9,8.00
8,256,9.7,69,5,12,16.00
9,290,9.2,66,5,13,11.00
10,274,10.9,68,5,14,14.00
11,65,13.2,58,5,15,18.00
12,334,11.5,64,5,16,14.00
13,307,12,66,5,17,34.00
14,78,18.4,57,5,18,6.00
15,322,11.5,68,5,19,30.00
16,44,9.7,62,5,20,11.00
17,8,9.7,59,5,21,1.00
18,320,16.6,73,5,22,11.00
19,25,9.7,61,5,23,4.00
20,92,12,61,5,24,32.00
21,13,12,67,5,28,23.00
22,252,14.9,81,5,29,45.00
23,223,5.7,79,5,30,115.00
24,279,7.4,76,5,31,37.00
25,127,9.7,82,6,7,29.00
26,291,13.8,90,6,9,71.00
27,323,11.5,87,6,10,39.00
28,148,8,82,6,13,23.00
29,191,14.9,77,6,16,21.00
30,284,20.7,72,6,17,37.00
31,37,9.2,65,6,18,20.00
32,120,11.5,73,6,19,12.00
33,137,10.3,76,6,20,13.00
34,269,4.1,84,7,1,135.00
35,248,9.2,85,7,2,49.00
36,236,9.2,81,7,3,32.00
37,175,4.6,83,7,5,64.00
38,314,10.9,83,7,6,40.00
39,276,5.1,88,7,7,77.00
40,267,6.3,92,7,8,97.00
41,272,5.7,92,7,9,97.00
42,175,7.4,89,7,10,85.00
43,264,14.3,73,7,12,10.00
44,175,14.9,81,7,13,27.00
45,48,14.3,80,7,15,7.00
46,260,6.9,81,7,16,48.00
47,274,10.3,82,7,17,35.00
48,285,6.3,84,7,18,61.00
49,187,5.1,87,7,19,79.00
50,220,11.5,85,7,20,63.00
51,7,6.9,74,7,21,16.00
52,294,8.6,86,7,24,80.00
53,223,8,85,7,25,108.00
54,81,8.6,82,7,26,20.00
55,82,12,86,7,27,52.00
56,213,7.4,88,7,28,82.00
57,275,7.4,86,7,29,50.00
58,253,7.4,83,7,30,64.00
59,254,9.2,81,7,31,59.00
60,83,6.9,81,8,1,39.00
61,24,13.8,81,8,2,9.00
62,77,7.4,82,8,3,16.00
63,255,4,89,8,7,122.00
64,229,10.3,90,8,8,89.00
65,207,8,90,8,9,110.00
66,192,11.5,86,8,12,44.00
67,273,11.5,82,8,13,28.00
68,157,9.7,80,8,14,65.00
69,71,10.3,77,8,16,22.00
70,51,6.3,79,8,17,59.00
71,115,7.4,76,8,18,23.00
72,244,10.9,78,8,19,31.00
73,190,10.3,78,8,20,44.00
74,259,15.5,77,8,21,21.00
75,36,14.3,72,8,22,9.00
76,212,9.7,79,8,24,45.00
77,238,3.4,81,8,25,168.00
78,215,8,86,8,26,73.00
79,203,9.7,97,8,28,76.00
80,225,2.3,94,8,29,118.00
81,237,6.3,96,8,30,84.00
82,188,6.3,94,8,31,85.00
83,167,6.9,91,9,1,96.00
84,197,5.1,92,9,2,78.00
85,183,2.8,93,9,3,73.00
86,189,4.6,93,9,4,91.00
87,95,7.4,87,9,5,47.00
88,92,15.5,84,9,6,32.00
89,252,10.9,80,9,7,20.00
90,220,10.3,78,9,8,23.00
91,230,10.9,75,9,9,21.00
92,259,9.7,73,9,10,24.00
93,236,14.9,81,9,11,44.00
94,259,15.5,76,9,12,21.00
95,238,6.3,77,9,13,28.00
96,24,10.9,71,9,14,9.00
97,112,11.5,71,9,15,13.00
98,237,6.9,78,9,16,46.00
99,224,13.8,67,9,17,18.00
100,27,10.3,76,9,18,13.00
101,238,10.3,68,9,19,24.00
102,201,8,82,9,20,16.00
103,238,12.6,64,9,21,13.00
104,14,9.2,71,9,22,23.00
105,139,10.3,81,9,23,36.00
106,49,10.3,69,9,24,7.00
107,20,16.6,63,9,25,14.00
108,193,6.9,70,9,26,30.00
109,191,14.3,75,9,28,14.00
110,131,8,76,9,29,18.00
111,223,11.5,68,9,30,20.00
