Description,Date,F.13-17,F.18-24,F.25-34,F.35-44,F.45-54,F.55-64,F.65+,M.13-17,M.18-24,M.25-34,M.35-44,M.45-54,M.55-64,M.65+,U.18-24,U.25-34,U.35-44,U.45-54,U.65+
Weekly Total Page Reach by age and gender. (Unique Users),3/1/13,3,32,18,5,9,1,3,11,105,38,9,5,7,3,2,,1,1,
,3/2/13,2,32,18,4,6,1,2,11,105,40,10,5,5,3,2,,1,1,
,3/3/13,4,42,18,4,5,1,2,13,125,39,10,6,4,3,2,,1,1,
,3/4/13,4,42,18,4,5,1,1,13,117,36,10,6,3,3,2,,1,1,
,3/5/13,5,40,17,5,5,1,1,13,114,37,10,6,2,3,2,,1,1,
,3/6/13,5,39,16,6,5,1,1,14,116,37,9,5,2,3,1,,1,1,
,3/7/13,4,31,16,5,3,,1,14,107,32,9,4,2,3,1,,2,1,
,3/8/13,4,24,9,4,2,,1,9,90,27,8,4,1,2,1,,2,1,
,3/9/13,4,23,7,4,2,,,9,91,25,6,3,1,1,1,,2,1,
,3/10/13,1,17,8,5,3,,,9,79,26,6,3,,1,1,1,2,1,
,3/11/13,3,15,7,6,4,,1,7,93,26,5,4,,2,1,1,2,1,
,3/12/13,3,14,9,7,5,1,1,6,93,25,5,4,1,2,1,1,2,1,
,3/13/13,7,19,11,7,5,1,1,5,109,29,8,3,1,2,1,1,2,1,
,3/14/13,7,20,11,6,5,2,1,5,111,30,7,3,1,2,1,1,1,1,
,3/15/13,7,21,11,6,5,2,1,4,111,29,7,4,1,2,1,1,1,1,1
,3/16/13,7,22,11,6,5,2,1,4,112,28,7,4,1,2,1,1,1,1,1
,3/17/13,7,21,12,5,5,3,1,3,111,28,8,3,1,2,1,,1,1,1
,3/18/13,4,19,13,5,5,3,1,5,111,29,8,3,1,2,1,,1,1,1
,3/19/13,4,19,13,3,4,2,1,6,113,28,8,3,1,2,1,,1,1,1
,3/20/13,,16,8,2,4,2,1,6,93,20,6,3,,2,1,,1,1,1
,3/21/13,,8,6,,3,1,1,5,57,13,5,2,,3,1,,1,1,1
,3/22/13,1,7,8,,2,1,1,4,55,11,3,1,,3,1,,1,1,
,3/23/13,1,10,8,,2,1,1,4,67,12,2,1,1,3,1,,1,1,
,3/24/13,1,15,8,2,2,,,4,103,22,4,2,1,3,1,,1,1,
,3/25/13,2,15,10,3,2,1,,6,114,26,6,1,3,3,1,,1,1,
,3/26/13,2,15,10,3,2,1,1,5,107,28,6,2,3,3,1,,1,1,
,3/27/13,2,14,10,3,2,1,1,5,96,28,6,2,3,2,1,,1,1,
,3/28/13,2,13,11,3,2,1,1,5,95,27,5,3,3,1,1,,1,1,
