Serial No.,GRE,TOEFL,Uni_R,SOP,CGPA,Chance
93,298,98,2,4,85.29,0.34
377,297,96,2,2.5,81.72,0.34
59,300,99,1,3,70.99,0.36
95,303,99,3,2,85.83,0.36
92,299,97,3,5,85.83,0.38
376,304,101,2,2,85.83,0.38
375,315,105,2,2,85.65,0.39
60,311,104,2,2,97.84,0.42
96,304,100,4,1.5,89.13,0.42
348,299,94,1,1,80.14,0.42
330,297,96,2,2.5,90.05,0.43
28,298,98,2,1.5,82.96,0.44
79,296,95,2,3,83.67,0.44
94,301,97,2,3,89.87,0.44
10,323,108,3,3.5,103.75,0.45
118,290,104,4,2,82.25,0.45
29,295,93,1,2,77.71,0.46
41,308,110,3,3.5,92.11,0.46
58,298,99,2,4,84.75,0.46
80,294,93,1,1.5,80.49,0.46
387,302,101,2,2.5,91.36,0.46
62,307,101,3,4,95.91,0.47
119,296,99,2,3,79.09,0.47
345,295,96,2,1.5,80.14,0.47
347,304,97,2,1.5,85.47,0.47
378,290,100,1,1.5,84.03,0.47
40,307,108,2,4,86.56,0.48
61,309,100,2,3,94,0.48
97,306,100,2,3,92.11,0.48
42,316,105,2,2.5,95.91,0.49
273,294,95,1,1.5,85.47,0.49
346,316,98,1,1.5,81.72,0.49
389,296,97,2,1.5,88.39,0.49
9,302,102,1,2,92.11,0.5
81,312,105,3,2,92.49,0.5
369,298,92,1,2,89.87,0.51
11,325,106,3,3.5,99.79,0.52
39,304,105,1,3,82.96,0.52
65,325,111,3,3,105.76,0.52
160,297,100,1,1.5,90.24,0.52
274,312,99,1,1,92.3,0.52
43,313,107,2,2.5,101.76,0.53
162,298,99,1,1.5,82.25,0.53
388,307,105,2,2,94,0.53
16,314,105,3,3.5,97.84,0.54
30,310,99,2,1.5,79.44,0.54
63,304,105,2,3,95.91,0.54
272,299,96,2,1.5,89.5,0.54
317,298,101,2,1.5,89.5,0.54
66,325,112,4,3.5,110.25,0.55
52,312,100,2,1.5,90.24,0.56
64,315,107,2,4,101.76,0.56
117,299,102,3,4,104.15,0.56
292,300,102,2,1.5,89.68,0.56
293,302,99,2,1,91.55,0.56
379,303,98,1,2,85.65,0.56
68,316,107,2,3.5,104.55,0.57
104,317,104,2,4.5,101.17,0.57
123,310,106,4,1.5,99.01,0.57
125,301,106,4,2.5,101.17,0.57
161,315,103,1,1.5,89.5,0.57
206,295,99,2,2.5,85.65,0.57
349,302,99,1,2,78.57,0.57
368,311,98,1,1,82.25,0.57
38,300,105,1,1,88.39,0.58
275,315,100,1,2,89.31,0.58
