"sp","sex","index","FL","RW","CL","CW","BD"
"O","F",25,18,14.9,34.7,39.5,15.7
"B","M",25,15,11.9,32.5,37.2,13.6
"O","M",6,12.5,9.4,24.2,27,11.2
"O","M",48,22.1,15.8,44.6,49.6,20.5
"O","M",27,17.4,12.8,36.1,39.5,16.2
"O","F",2,11.4,9.2,21.7,24.1,9.7
"O","F",11,15,12.3,30.1,33.3,14
"O","M",17,14.2,11.3,29.2,32.2,13.5
"B","F",45,16.2,15.2,34.5,40.1,13.9
"B","M",20,13.9,11.1,29.2,33.3,12.1
"B","M",5,9.8,8,20.3,23,8.2
"B","F",9,10.4,9.7,21.7,25.4,8.3
"B","F",20,12.6,12.2,26.1,31.6,11.2
"B","M",34,16.4,13,35.7,41.8,15.2
"O","F",31,18.6,14.5,34.7,39.4,15
"B","F",7,10.1,9.3,20.9,24.4,8.4
"O","F",20,17.1,14.5,33.1,37.2,14.6
"B","M",50,21.3,15.7,47.1,54.6,20
"O","F",46,21.4,18,41.2,46.2,18.7
"B","M",8,11.6,9.1,24.5,28.4,10.4
"O","F",17,16.1,13.7,31.4,36.1,13.9
"B","M",27,15.4,11.8,33,37.5,13.6
"O","F",41,20.3,16,39.4,44.1,18
"O","M",33,18.2,13.7,38.8,42.7,17.2
"B","F",19,12,11.1,25.4,29.2,11
"B","M",46,19.3,13.8,40.9,46.5,16.8
"O","M",25,16.3,11.6,31.6,34.2,14.5
"B","F",15,11.6,11.4,23.7,27.7,10
"O","F",29,18.4,15.7,36.5,41.6,16.4
"B","F",50,19.2,16.5,40.9,47.9,18.1
"O","M",9,13.4,10.1,26.6,29.6,12
"O","F",24,17.6,14,34,38.6,15.5
"B","M",12,12.3,11,26.8,31.5,11.4
"B","F",44,15.8,15,34.5,40.3,15.3
"O","F",30,18.5,14.6,37,42,16.6
"O","F",7,14,12.8,28.8,32.4,12.7
"O","M",1,9.1,6.9,16.7,18.6,7.4
"B","F",6,9.8,8.9,20.4,23.9,8.8
"B","F",38,15.3,14.2,32.6,38.3,13.8
"B","F",2,9,8.5,19.3,22.7,7.7
"B","F",23,12.8,12.2,27.9,31.9,11.5
"B","F",33,15,14.2,32.8,37.4,14
"O","F",10,14.9,13,30,33.7,13.3
"B","M",9,11.8,9.6,24.2,27.8,9.7
"B","M",1,8.1,6.7,16.1,19,7
"O","M",34,18.4,13.4,37.9,42.2,17.7
"B","F",35,15.1,13.5,31.9,37,13.8
"O","F",21,17.5,14.3,34.5,39.6,15.6
"O","M",30,17.8,12.5,36,39.8,16.7
"B","M",29,15.9,12.7,34,38.9,14.2
"B","F",27,13.4,11.8,28.4,32.7,11.7
"B","M",37,16.9,13.2,37.3,42.7,15.6
"B","M",3,9.2,7.8,19,22.4,7.7
"O","F",27,18.3,15.7,35.1,40.5,16.1
"B","F",12,11.2,10,22.8,26.9,9.4
"B","M",18,13.1,10.9,28.3,32.4,11.2
"B","F",5,9.5,8.2,19.6,22.4,7.8
"O","M",21,15.1,11.5,30.9,34,13.9
"O","M",43,21,15,42.9,47.2,19.4
"B","F",46,16.4,14,34.2,39.8,15.2
"O","F",16,16.1,13.6,31.6,36,14
"B","F",17,11.9,11.4,26,30.1,10.9
"B","F",14,11.6,11,24.6,28.5,10.4
"B","F",36,15.1,13.8,31.7,36.6,13
"B","M",33,16.3,12.7,35.6,40.9,14.9
"O","M",23,15.7,12.2,31.7,34.2,14.2
"O","M",45,21.6,15.4,45.7,49.7,20.6
"B","M",23,15,10.9,31.4,36.4,13.2
"O","M",39,19.4,14.1,39.1,43.2,17.8
"O","M",10,13.7,11,27.5,30.5,12.2
"O","M",3,10.7,8.6,20.7,22.7,9.2
"O","F",47,21.7,17.1,41.7,47.2,19.6
"B","M",47,19.7,15.3,41.9,48.5,17.8
"O","M",8,13.2,11,27.1,30.4,12.2
"O","M",42,20.6,14.4,42.8,46.5,19.6
"O","M",18,14.6,11.3,29.9,33.5,12.8
"B","M",36,16.8,12.8,36.2,41.8,14.9
"B","M",22,14.6,11.3,31.9,36.4,13.7
"O","F",40,20.1,17.2,39.8,44.1,18.6
"O","F",18,16.2,14,31.6,35.6,13.7
"B","M",13,12.6,10,27.7,31.7,11.4
"B","F",22,12.8,12.2,26.7,31.1,11.1
"B","M",15,12.8,10.9,27.4,31.5,11
"B","F",8,10.3,9.5,21.3,24.7,8.9
"B","F",29,13.9,13,30,34.9,13.1
"O","F",6,14,11.9,27,31.4,12.6
"B","M",30,16.1,11.6,33.8,39,14.4
"B","M",40,17.2,13.5,37.6,43.9,16.1
"B","F",11,11,9.8,22.5,25.7,8.2
"O","F",4,12.6,11.5,25,28.1,11.5
"O","M",7,12.7,10.4,26,28.8,12.1
"B","M",24,15,11.5,32.4,37,13.4
"O","M",19,14.7,11.1,29,32.1,13.1
"B","M",2,8.8,7.7,18.1,20.8,7.4
"O","F",19,16.7,14.3,32.3,37,14.7
"B","F",42,15.6,14.7,33.9,39.5,14.3
"B","M",11,12.2,10.8,27.3,31.6,10.9
"B","M",35,16.6,13.5,38.1,43.4,14.9
"B","M",41,17.7,13.6,38.7,44.5,16
"O","M",32,18,13.4,36.7,41.3,17.1
