"sp","sex","index","FL","RW","CL","CW","BD"
"B","F",31,14.9,13.2,30.1,35.6,12
"O","F",3,12.5,10,24.1,27,10.9
"O","F",37,19.9,16.6,39.4,43.9,17.9
"O","F",14,15.6,14.1,31,34.5,13.8
"B","M",29,15.9,12.7,34,38.9,14.2
"B","F",8,10.3,9.5,21.3,24.7,8.9
"B","M",41,17.7,13.6,38.7,44.5,16
"B","F",7,10.1,9.3,20.9,24.4,8.4
"B","M",11,12.2,10.8,27.3,31.6,10.9
"B","F",11,11,9.8,22.5,25.7,8.2
"B","M",35,16.6,13.5,38.1,43.4,14.9
"O","M",32,18,13.4,36.7,41.3,17.1
"O","F",22,17.5,14.4,34.5,39,16
"B","M",48,19.8,14.2,43.2,49.7,18.6
"O","M",10,13.7,11,27.5,30.5,12.2
"B","M",43,18,13.7,39.2,44.4,16.2
"B","F",20,12.6,12.2,26.1,31.6,11.2
"B","F",16,11.7,10.6,24.9,28.5,10.4
"B","M",40,17.2,13.5,37.6,43.9,16.1
"B","M",12,12.3,11,26.8,31.5,11.4
"O","M",50,23.1,15.7,47.6,52.8,21.6
"O","M",9,13.4,10.1,26.6,29.6,12
"B","F",18,12,10.7,24.6,28.9,10.5
"B","F",26,13.2,12.2,27.9,32.1,11.5
"B","F",21,12.8,11.7,27.1,31.2,11.9
"B","M",27,15.4,11.8,33,37.5,13.6
"B","F",39,15.4,13.3,32.4,37.6,13.8
"O","M",33,18.2,13.7,38.8,42.7,17.2
"O","F",42,20.5,17.5,40,45.5,19.2
"O","F",20,17.1,14.5,33.1,37.2,14.6
"O","F",35,19.1,16.3,37.9,42.6,17.2
"O","M",30,17.8,12.5,36,39.8,16.7
"O","F",12,15.6,13.5,31.2,35.1,14.1
"B","F",22,12.8,12.2,26.7,31.1,11.1
"O","F",47,21.7,17.1,41.7,47.2,19.6
"B","M",2,8.8,7.7,18.1,20.8,7.4
"B","F",46,16.4,14,34.2,39.8,15.2
"B","F",24,13,11.4,27.3,31.8,11.3
"O","M",12,14.1,10.4,28.9,31.8,13.5
"B","F",37,15.2,14.3,33.9,38.5,14.7
"O","M",11,14,11.5,29.2,32.2,13.1
"B","F",23,12.8,12.2,27.9,31.9,11.5
"B","F",48,17.4,16.9,38.2,44.1,16.6
"B","F",41,15.6,13.9,32.8,37.9,13.4
"B","M",34,16.4,13,35.7,41.8,15.2
"O","M",18,14.6,11.3,29.9,33.5,12.8
"O","M",16,14.2,10.7,27.8,30.9,12.7
"B","M",49,19.8,14.3,42.4,48.9,18.3
"B","F",36,15.1,13.8,31.7,36.6,13
"B","M",50,21.3,15.7,47.1,54.6,20
"B","F",38,15.3,14.2,32.6,38.3,13.8
"O","M",19,14.7,11.1,29,32.1,13.1
"B","M",18,13.1,10.9,28.3,32.4,11.2
"O","F",15,15.7,13.6,31,34.8,13.8
"O","M",15,14.2,10.6,28.7,31.7,12.9
"B","F",50,19.2,16.5,40.9,47.9,18.1
"B","F",40,15.5,13.8,33.4,38.7,14.7
"B","F",44,15.8,15,34.5,40.3,15.3
"B","F",14,11.6,11,24.6,28.5,10.4
"O","M",24,16.2,11.8,32.3,35.3,14.7
"O","F",11,15,12.3,30.1,33.3,14
"B","F",32,15,13.8,31.7,36.9,14
"O","F",49,22.5,17.2,43,48.7,19.8
"O","M",38,18.8,13.8,39.2,43.3,17.9
"O","M",13,14.1,10.5,29.1,31.6,13.1
"B","M",10,11.8,10.5,25.2,29.3,10.3
"O","F",1,10.7,9.7,21.4,24,9.8
"O","M",26,17.1,12.6,35,38.9,15.7
"B","F",45,16.2,15.2,34.5,40.1,13.9
"B","M",28,15.7,12.6,35.8,40.3,14.5
"B","M",6,10.8,9,23,26.5,9.8
"B","M",39,17.1,12.7,36.7,41.9,15.6
"O","F",31,18.6,14.5,34.7,39.4,15
"O","F",16,16.1,13.6,31.6,36,14
"O","F",21,17.5,14.3,34.5,39.6,15.6
"B","M",25,15,11.9,32.5,37.2,13.6
"B","F",15,11.6,11.4,23.7,27.7,10
"B","F",27,13.4,11.8,28.4,32.7,11.7
"B","M",9,11.8,9.6,24.2,27.8,9.7
"B","F",33,15,14.2,32.8,37.4,14
"O","F",44,20.9,16.5,39.9,44.7,17.5
"B","F",12,11.2,10,22.8,26.9,9.4
"O","M",35,18.6,13.4,37.8,41.9,17.3
"B","F",2,9,8.5,19.3,22.7,7.7
"B","F",34,15.1,13.3,31.8,36.3,13.5
"B","F",43,15.7,13.9,33.6,38.5,14.1
"O","F",5,12.9,11.2,25.8,29.1,11.9
"O","M",22,15.4,11.1,30.2,33.6,13.5
"O","M",43,21,15,42.9,47.2,19.4
"O","F",50,23.1,20.2,46.2,52.5,21.1
"B","M",8,11.6,9.1,24.5,28.4,10.4
"B","F",42,15.6,14.7,33.9,39.5,14.3
"O","M",42,20.6,14.4,42.8,46.5,19.6
"B","F",28,13.7,12.5,28.6,33.8,11.9
"B","F",9,10.4,9.7,21.7,25.4,8.3
"B","M",5,9.8,8,20.3,23,8.2
"B","M",26,15.2,12.1,32.3,36.7,13.6
"B","M",21,14.3,11.6,31.3,35.5,12.7
"B","F",25,13.1,11.5,27.6,32.6,11.1
"O","M",1,9.1,6.9,16.7,18.6,7.4
