"hair","pain"
"Light Brown",51
"Blonde",41
"Light Brown",44
"Blonde",59
"Light Brown",73
"Dark Brown",49
"Dark Brown",41
"Light Brown",52
"Light Brown",46
"Black",37
"Dark Brown",33
"Dark Brown",67
"Light Brown",55
"Dark Brown",46
"Dark Brown",48
"Light Brown",56
"Dark Brown",63
"Dark Brown",45
"Dark Brown",56
"Red",60
"Light Brown",58
"Dark Brown",60
"Black",50
"Light Brown",52
"Light Brown",64
"Dark Brown",32
"Light Brown",39
"Light Brown",53
"Dark Brown",41
"Light Brown",63
"Blonde",63
"Dark Brown",64
"Dark Brown",42
"Light Brown",46
"Dark Brown",62
"Dark Brown",29
"Blonde",61
"Blonde",39
"Light Brown",47
"Dark Brown",32
"Light Brown",48
"Light Brown",40
"Red",27
"Light Brown",67
"Dark Brown",55
"Dark Brown",29
"Dark Brown",40
"Dark Brown",43
"Dark Brown",34
"Light Brown",44
"Red",24
"Blonde",67
"Dark Brown",54
"Dark Brown",57
"Light Brown",47
"Light Brown",53
"Light Brown",26
"Dark Brown",55
"Light Brown",49
"Dark Brown",70
"Blonde",41
"Dark Brown",51
"Black",58
"Light Brown",45
"Black",42
"Dark Brown",40
"Red",46
"Dark Brown",42
"Light Brown",39
"Red",67
"Light Brown",43
"Light Brown",56
"Dark Brown",35
"Dark Brown",38
"Dark Brown",46
"Light Brown",58
"Red",36
"Light Brown",64
"Light Brown",46
"Dark Brown",19
"Blonde",90
"Light Brown",48
"Dark Brown",38
"Dark Brown",41
"Dark Brown",70
"Dark Brown",39
"Blonde",59
"Light Brown",49
"Blonde",85
"Dark Brown",54
"Red",53
"Blonde",35
"Dark Brown",48
"Light Brown",51
"Light Brown",38
"Light Brown",64
"Light Brown",41
"Light Brown",29
"Dark Brown",38
"Dark Brown",66
"Dark Brown",69
"Light Brown",52
"Black",33
"Light Brown",40
"Light Brown",53
"Blonde",43
"Light Brown",54
"Blonde",73
"Dark Brown",59
"Dark Brown",17
"Light Brown",48
"Dark Brown",62
"Light Brown",68
"Dark Brown",64
"Blonde",28
"Blonde",65
"Black",57
"Light Brown",74
"Dark Brown",60
"Dark Brown",23
"Light Brown",55
"Light Brown",46
"Dark Brown",44
"Light Brown",55
"Light Brown",66
"Blonde",42
"Red",66
"Dark Brown",47
"Dark Brown",59
"Light Brown",45
"Dark Brown",44
"Light Brown",51
"Blonde",25
"Light Brown",49
"Red",42
"Blonde",49
"Light Brown",51
"Dark Brown",34
"Dark Brown",43
"Blonde",69
"Light Brown",43
"Light Brown",50
"Dark Brown",58
"Light Brown",39
"Dark Brown",51
"Red",60
"Black",50
"Light Brown",35
"Blonde",34
"Dark Brown",56
"Blonde",42
"Light Brown",48
"Blonde",37
"Dark Brown",67
"Dark Brown",62
"Light Brown",48
"Light Brown",33
"Light Brown",73
"Blonde",29
"Light Brown",48
"Light Brown",60
"Light Brown",45
"Blonde",62
"Blonde",52
"Dark Brown",40
"Light Brown",29
"Black",60
"Dark Brown",51
"Blonde",55
"Dark Brown",59
"Black",40
"Dark Brown",48
"Light Brown",61
"Dark Brown",73
"Dark Brown",49
"Light Brown",49
"Light Brown",63
"Blonde",55
"Blonde",35
"Blonde",60
"Dark Brown",58
"Light Brown",51
"Dark Brown",54
"Dark Brown",49
"Black",54
"Blonde",73
"Dark Brown",32
"Red",50
"Dark Brown",44
"Dark Brown",44
"Light Brown",33
"Blonde",35
"Dark Brown",73
"Dark Brown",40
"Black",56
"Dark Brown",40
"Dark Brown",33
"Blonde",79
"Dark Brown",51
"Light Brown",36
"Light Brown",51
"Blonde",23
"Dark Brown",41
"Light Brown",54
"Light Brown",61
"Light Brown",46
"Dark Brown",39
"Dark Brown",41
"Light Brown",62
"Light Brown",40
"Dark Brown",49
"Light Brown",72
"Dark Brown",50
"Dark Brown",44
"Red",50
"Light Brown",49
"Dark Brown",48
"Light Brown",47
"Light Brown",41
"Dark Brown",62
"Dark Brown",33
"Dark Brown",13
"Dark Brown",58
"Light Brown",48
"Blonde",50
"Light Brown",58
"Blonde",42
"Light Brown",40
"Light Brown",81
"Light Brown",41
"Dark Brown",52
"Light Brown",25
"Light Brown",51
"Light Brown",74
"Light Brown",39
"Light Brown",58
"Black",51
"Blonde",57
"Light Brown",81
"Dark Brown",55
"Red",62
"Red",41
"Blonde",52
"Light Brown",52
"Light Brown",29
"Light Brown",47
"Red",23
"Light Brown",47
"Dark Brown",53
"Blonde",36
