AvTemperature,Months
-4.06,1
-3.5,2
-0.78,3
8.61,4
17.17,5
20.28,6
23.17,7
19.94,8
16.17,9
9.17,10
4.22,11
-6.67,12
-8.83,1
-7.17,2
-4.33,3
7.44,4
16.28,5
19.17,6
22.28,7
20.22,8
15.67,9
10.5,10
3,11
-0.5,12
-12,1
-5.78,2
3,3
7.06,4
11.78,5
20,6
23.17,7
20.11,8
15.94,9
10.11,10
2.89,11
-4.11,12
-5.83,1
-9.61,2
1.67,3
9.06,4
12.22,5
20.11,6
20.89,7
18.72,8
16,9
9.5,10
0.67,11
-3.33,12
-7.17,1
-6.33,2
4.56,3
10,4
12.94,5
19.83,6
21.5,7
21.28,8
15.89,9
10.39,10
2.11,11
-6.28,12
-10,1
-4.39,2
-1.44,3
8.11,4
14.78,5
16.78,6
22.28,7
22.06,8
16.61,9
8.67,10
1.22,11
-6.44,12
-13.11,1
-7.22,2
-0.33,3
9.28,4
16.44,5
20.06,6
22.33,7
21.44,8
16.94,9
11.5,10
2.61,11
-4.56,12
-11.56,1
-6.67,2
-1.33,3
8.72,4
13.22,5
22.89,6
20,7
19.5,8
18.28,9
13.94,10
3.11,11
-2.39,12
-10.33,1
-8.22,2
-0.67,3
6.5,4
16.83,5
19.11,6
21.22,7
22,8
16.72,9
7.78,10
0.39,11
-8.17,12
-5.28,1
-3.5,2
5.72,3
7.33,4
13.06,5
20.5,6
22.39,7
22.39,8
16.94,9
13.11,10
3.33,11
-6.44,12
-8,1
-6.39,2
1.22,3
9.56,4
12.67,5
17.67,6
23.33,7
19.5,8
14.28,9
10.44,10
2.67,11
-3.61,12
-6.44,1
-6.89,2
-4.11,3
5.17,4
16.56,5
20.28,6
22.22,7
21.72,8
14.06,9
11.39,10
4.78,11
-3.22,12
