,Site.ID,Stratum,Latitude,Longitude,Index,Salinity,Silt
1,89/90-1,101,38.443,-76.4457,2.33,2,0.6
2,89/90-1,101,38.4232,-76.4237,3.67,2,0.8
3,89/90-1,101,38.4773,-76.4827,2,1.5,0.6
4,89/90-2,101,38.474,-76.4792,2.67,1.6,0.8
5,89/90-2,101,38.4598,-76.4542,2.33,2,0.7
6,89/90-2,101,38.4718,-76.4768,2,1.2,0.8
7,90/91-1,101,38.4693,-76.4737,3,2.3,1.1
8,90/91-1,101,38.4968,-76.4968,1.33,2.6,1.2
9,90/91-1,101,38.4988,-76.4995,2.33,2.3,1
10,90/91-2,101,38.4693,-76.4728,2.33,2.7,1.1
11,90/91-2,101,38.4565,-76.45,3.33,2.6,0.5
12,90/91-2,101,38.495,-76.4947,2,3.1,1.3
13,91/92-1,101,38.4592,-76.4527,2.67,3,0.7
14,91/92-1,101,38.4633,-76.4617,2.67,3,0.8
15,91/92-1,101,38.4257,-76.425,3,1.7,1.3
16,91/92-2,101,38.4803,-76.4842,1.67,2.8,1.1
17,91/92-2,101,38.4735,-76.4777,1.33,2.2,1
18,91/92-2,101,38.4628,-76.4612,2.33,3.7,1.4
19,92/93-1,101,38.4982,-76.4982,3.67,2.2,1
20,92/93-1,101,38.4962,-76.4947,3,2.5,2.3
21,92/93-1,101,38.4173,-76.4137,3.67,2.4,3.6
22,89/90-1,102,38.4527,-76.4297,1,12.2,86.3
23,89/90-1,102,38.4668,-76.424,1,12.5,90.8
24,89/90-1,102,38.4757,-76.4555,1,10.9,93.4
25,89/90-2,102,38.4438,-76.39,1,13.5,91.9
26,89/90-2,102,38.441,-76.4183,1.8,12,76.2
27,89/90-2,102,38.4335,-76.4072,1.4,12,93.1
28,90/91-1,102,38.459,-76.4108,1,13.4,75.3
29,90/91-1,102,38.4385,-76.4035,1,13.2,80.8
30,90/91-1,102,38.4473,-76.3988,1,13.9,73.4
31,90/91-2,102,38.4845,-76.4468,1,11.5,89.9
32,90/91-2,102,38.4725,-76.4537,1.8,11.3,83.5
33,90/91-2,102,38.4965,-76.4537,1,11.5,84.2
34,91/92-1,102,38.4625,-76.435,1,12.7,86.1
35,91/92-1,102,38.4627,-76.4267,1,11.6,79.6
36,91/92-1,102,38.4792,-76.4505,1,11.6,87.5
37,91/92-2,102,38.4985,-76.438,1.8,12.9,78.8
38,91/92-2,102,38.44,-76.4223,1.8,12.2,92.7
39,91/92-2,102,38.462,-76.4125,2.2,13.9,91.4
40,92/93-1,102,38.4257,-76.3935,2.33,14.3,81.6
41,92/93-1,102,38.4907,-76.4492,1,11.5,94.9
42,92/93-1,102,38.4983,-76.4483,1,11.6,85.8
43,89/90-1,103,38.4383,-76.3555,2.33,20.5,23.6
44,89/90-1,103,38.4272,-76.3878,1,14.4,91.7
45,89/90-1,103,38.4705,-76.3972,1,15.4,93.9
46,89/90-2,103,38.4435,-76.372,1,22,90.3
47,89/90-2,103,38.4817,-76.3742,1.33,20,53.1
48,89/90-2,103,38.473,-76.371,1.33,20,46.1
49,90/91-1,103,38.4807,-76.3805,1,18.8,82.9
50,90/91-1,103,38.4992,-76.4215,1,20.1,76.8
51,90/91-1,103,38.4493,-76.3912,1,15,86.8
52,90/91-2,103,38.4805,-76.3713,1,22,84.7
53,90/91-2,103,38.4918,-76.3815,1.67,19.2,75.4
54,90/91-2,103,38.4265,-76.3397,1,19,70.7
55,91/92-1,103,38.4225,-76.3433,1.67,25.1,88.1
56,91/92-1,103,38.4793,-76.3897,1,23.3,79.4
57,91/92-1,103,38.4585,-76.3558,1,15.7,84.3
58,91/92-2,103,38.4717,-76.3957,1,19.9,87
59,91/92-2,103,38.4675,-76.3835,1.33,24.8,91.5
60,91/92-2,103,38.4512,-76.3882,1,16.6,88.6
61,92/93-1,103,38.4667,-76.3807,2.5,23,70.4
62,92/93-1,103,38.4373,-76.3752,1,18.4,83.4
63,92/93-1,103,38.4627,-76.3758,1,22.7,35.5
64,89/90-1,104,38.6363,-76.5163,4,2.6,2.5
65,89/90-1,104,38.6945,-76.5222,3.67,2,1.8
66,89/90-1,104,38.6665,-76.5265,3.67,2.4,1.4
67,89/90-2,104,38.5998,-76.5088,3,2.2,0.9
68,89/90-2,104,38.6303,-76.5122,4,2,1.2
69,89/90-2,104,38.7243,-76.517,2.33,1.8,2
70,90/91-1,104,38.6257,-76.5052,1,2.7,0.8
71,90/91-1,104,38.633,-76.5143,2,2.2,2.4
72,90/91-1,104,38.6665,-76.5275,1.33,2.6,1.3
73,90/91-2,104,38.6335,-76.5137,1.67,3.2,1.8
74,90/91-2,104,38.6508,-76.5205,2,2.9,51.1
75,90/91-2,104,38.631,-76.5112,2.67,2.8,1.7
76,91/92-1,104,38.5975,-76.5067,3.67,3,1.3
77,91/92-1,104,38.6812,-76.528,2.67,2.5,1.8
78,91/92-1,104,38.6492,-76.5208,1.67,1.7,1.3
79,91/92-2,104,38.6408,-76.5167,2,2.4,1.5
80,91/92-2,104,38.638,-76.5157,2,2.8,1.5
81,91/92-2,104,38.6717,-76.5247,2.67,2.8,1.7
82,92/93-1,104,38.671,-76.525,3,1.8,1
83,92/93-1,104,38.6493,-76.5202,3.67,1.6,1
84,92/93-1,104,38.6317,-76.5092,3.67,2.4,1.3
85,89/90-1,105,38.691,-76.43,1,28.4,92.2
86,89/90-1,105,38.5868,-76.4363,1,20.7,90.4
87,89/90-1,105,38.6798,-76.4305,1,16.4,90.7
88,89/90-2,105,38.5957,-76.4167,1,14.5,87.7
89,89/90-2,105,38.7108,-76.439,1,22.5,91.8
90,89/90-2,105,38.6298,-76.439,1,14.2,92.1
91,90/91-1,105,38.5987,-76.4317,1,22.1,83.9
92,90/91-1,105,38.677,-76.4517,1,11.3,77.1
93,90/91-1,105,38.6553,-76.401,1,12,82.5
94,90/91-2,105,38.6502,-76.4548,1,16.3,91.5
95,90/91-2,105,38.6792,-76.4573,1,11.3,82.9
96,90/91-2,105,38.6007,-76.4245,1,23.5,99.8
97,91/92-1,105,38.7178,-76.4108,1,16.4,68.5
98,91/92-1,105,38.6682,-76.437,1,13.8,93.7
99,91/92-1,105,38.6675,-76.4375,1,13.8,94.5
100,91/92-2,105,38.6882,-76.3973,1.33,11.9,77.1
101,91/92-2,105,38.6962,-76.4662,1,11.3,92.4
102,91/92-2,105,38.6153,-76.4432,1,15.3,83.7
103,92/93-1,105,38.6543,-76.411,3,18.2,95.3
104,92/93-1,105,38.634,-76.4318,1,16.5,90.5
105,92/93-1,105,38.7148,-76.4435,1,19.4,97.1
106,89/90-1,106,38.9652,-76.3785,1.8,24,96.9
107,89/90-1,106,38.9048,-76.4248,1,12.3,92.3
108,89/90-1,106,38.9308,-76.4207,1,11.1,96.1
109,89/90-2,106,38.8903,-76.4197,1.8,12.2,94.7
110,89/90-2,106,38.8903,-76.412,1,14.7,94.4
111,89/90-2,106,38.8597,-76.4368,1.8,6,94.8
112,90/91-1,106,38.9315,-76.4143,1,12.8,92.3
113,90/91-1,106,38.8527,-76.4298,1.4,10.6,92.8
114,90/91-1,106,38.8958,-76.432,1.4,11.6,84.7
115,90/91-2,106,38.9178,-76.4223,1,12.1,88.2
116,90/91-2,106,38.8692,-76.3972,1,24.1,17.1
117,90/91-2,106,38.8917,-76.4055,1,16.4,34.3
118,91/92-1,106,38.9578,-76.386,1,29.2,93
119,91/92-1,106,38.9275,-76.3985,1,22.2,93.9
120,91/92-1,106,38.9108,-76.4208,1.8,12.8,91.6
121,91/92-2,106,38.8843,-76.4075,1.8,22.9,91.6
122,91/92-2,106,38.972,-76.3775,1,25.7,94
123,91/92-2,106,38.914,-76.3983,1,23.6,93.2
124,92/93-1,106,38.8935,-76.4027,2.33,23.7,96.7
125,92/93-1,106,38.8717,-76.3915,1.67,20.7,62.2
126,92/93-1,106,38.9417,-76.3875,1,25.1,95.3
