;PRINCESS ZANDA;"LITTLE; ABNER";BLACK PANTHER/T'CHAL;"STEELE; SIMON/WOLFGA";"FORTUNE; DOMINIC";"ERWIN; CLYTEMNESTRA";IRON MAN/TONY STARK ;IRON MAN IV/JAMES R.;"RAVEN; SABBATH II/EL";CARNIVORE/COUNT ANDR;GHOST;"ZIMMER; ABE";FU MANCHU;"TARR; BLACK JACK";"SMITH; SIR DENIS NAY";SHANG-CHI;STARSHINE II/BRANDY ;"ROM; SPACEKNIGHT";MAN-THING/THEODORE T;"WU; LEIKO";DOCTOR DREDD;"RESTON; CLIVE";"JACKSON; STEVE";MYSTIQUE/RAVEN DARKH;BLOB/FRED J. DUKES;TORPEDO III/BROCK JO;PYRO/ALLERDYCE JOHNN;AVALANCHE/DOMINIC PE;ROGUE /;DESTINY II/IRENE ADL;HYBRID/JAMES JIMMY M;"CLARK; SARAH";"KILLBURN; MACK";"JONES; TAMMY ANNE";"JONES; LORRAINE LORR";"JONES; NELL";"JONES; DANIEL DANNY";"CLARK; JOHN";SUB-MARINER/NAMOR MA;VASHTI;SEAWEED MAN;NOVA/RICHARD RIDER;FIRESTAR/ANGELICA JO;THUNDERBALL/DR. ELIO;NAMORITA/NITA PRENTI;SPEEDBALL/ROBBIE BAL;HULK/DR. ROBERT BRUC;NIGHT THRASHER/DUANE;SPIDER-MAN/PETER PAR;JUSTICE II/VANCE AST
CAPTAIN AMERICA;0;0;131;0;1;0;446;37;0;3;1;3;0;0;0;2;3;4;3;0;0;0;1;4;9;3;6;6;48;3;0;0;0;1;1;1;1;0;158;6;0;40;58;25;34;24;111;10;145;47
SCARLET WITCH/WANDA ;0;0;108;0;0;1;372;28;0;3;0;3;0;0;0;2;2;3;2;1;0;0;0;5;8;2;6;5;25;3;0;0;0;0;0;0;0;0;59;1;0;25;49;4;19;13;65;4;67;39
THOR/DR. DONALD BLAK;1;1;103;0;0;0;344;23;0;6;0;0;0;0;0;1;0;1;4;0;0;0;0;2;5;2;3;3;24;2;0;0;0;0;0;0;0;0;62;5;0;11;40;28;11;7;72;5;95;38
VISION ;0;0;132;0;0;1;333;16;0;1;0;0;0;0;0;2;2;3;3;1;0;0;0;3;5;2;3;3;28;2;0;0;0;0;0;0;0;0;57;0;0;29;48;5;21;17;69;7;75;36
WASP/JANET VAN DYNE ;0;0;84;0;0;0;301;27;0;2;0;3;0;0;0;0;0;1;0;0;0;0;0;3;3;2;3;3;27;2;0;0;0;0;0;0;0;0;70;3;0;11;24;18;13;10;70;0;78;21
HAWK;0;0;95;0;0;5;294;58;0;0;0;6;0;0;0;0;2;3;1;0;0;0;0;4;6;2;4;4;27;4;0;0;0;0;0;0;0;0;49;1;0;7;16;11;5;5;63;2;57;16
ANT-MAN/DR. HENRY J.;0;0;86;0;0;2;291;11;0;2;0;4;0;0;0;1;0;0;0;1;0;0;0;3;3;0;3;3;15;2;0;0;0;0;0;0;0;0;53;2;0;14;28;2;16;11;49;1;46;24
WONDER MAN/SIMON WIL;0;0;51;0;0;0;249;21;0;3;0;3;0;0;0;1;2;3;2;0;0;0;0;5;4;2;4;4;27;4;0;0;0;0;0;0;0;0;38;0;0;28;41;4;19;14;45;4;39;31
IRON MAN IV/JAMES R.;0;1;4;2;2;31;189;0;2;0;7;17;0;0;0;0;2;2;1;0;0;0;0;1;1;0;1;1;17;1;0;0;0;0;0;0;0;0;5;0;0;0;2;12;0;0;16;1;17;2
"JARVIS; EDWIN ";1;1;55;0;0;0;183;11;0;5;0;1;0;0;0;0;1;1;0;0;0;0;1;2;2;1;3;2;3;2;0;0;0;1;1;1;1;0;31;1;0;8;24;9;5;8;13;3;46;26
BEAST/HENRY &HANK& P;0;0;44;0;0;0;142;6;0;0;0;0;0;0;0;1;2;3;1;0;0;0;0;25;29;2;11;9;104;9;0;0;0;0;0;0;0;0;40;2;0;13;14;1;16;14;43;4;51;8
THING/BENJAMIN J. GR;0;0;49;0;0;0;129;14;0;0;0;0;0;0;0;2;1;3;7;0;0;0;1;1;0;3;0;0;44;1;0;0;0;1;1;1;1;0;102;9;0;36;26;14;35;16;99;9;126;22
MR. FANTASTIC/REED R;0;0;41;0;0;0;128;19;0;0;0;0;0;0;0;1;1;2;6;0;0;0;1;2;1;3;1;1;32;2;0;0;0;1;1;1;1;0;86;5;0;17;20;13;29;10;89;6;121;15
BLACK PANTHER/T'CHAL;6;7;0;0;0;0;120;4;0;4;2;0;0;0;0;0;0;1;1;0;0;0;0;1;1;2;1;1;3;1;0;0;0;0;0;0;0;0;42;2;0;4;13;0;3;3;27;2;24;14
"HOGAN; VIRGINIA PEPP";1;2;0;0;0;3;117;20;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;1;2
INVISIBLE WOMAN/SUE ;0;0;39;0;0;0;114;6;0;0;0;0;0;0;0;1;1;2;2;0;0;0;1;0;0;3;0;0;32;1;0;0;0;1;1;1;1;0;102;8;0;29;24;1;32;16;77;6;97;15
"HOGAN; HAROLD J. HAP";0;0;0;0;0;3;114;19;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;1
QUICKSILVER/PIETRO M;0;0;48;0;0;0;110;6;0;2;0;0;0;0;0;1;0;1;0;1;0;0;0;3;7;2;8;5;20;2;0;0;0;0;0;0;0;0;20;1;0;9;14;0;9;8;28;1;23;9
