"Source","Target","Weight"
"IRON MAN/TONY STARK ","CAPTAIN AMERICA",446
"IRON MAN/TONY STARK ","SCARLET WITCH/WANDA ",372
"IRON MAN/TONY STARK ","THOR/DR. DONALD BLAK",344
"IRON MAN/TONY STARK ","VISION ",333
"IRON MAN/TONY STARK ","WASP/JANET VAN DYNE ",301
"IRON MAN/TONY STARK ","HAWK",294
"IRON MAN/TONY STARK ","WONDER MAN/SIMON WIL",249
"IRON MAN/TONY STARK ","IRON MAN IV/JAMES R.",189
"IRON MAN/TONY STARK ","BEAST/HENRY &HANK& P",142
"IRON MAN/TONY STARK ","THING/BENJAMIN J. GR",129
"IRON MAN/TONY STARK ","MR. FANTASTIC/REED R",128
"IRON MAN/TONY STARK ","BLACK PANTHER/T'CHAL",120
"IRON MAN/TONY STARK ","HOGAN, VIRGINIA PEPP",117
"IRON MAN/TONY STARK ","HOGAN, HAROLD J. HAP",114
"IRON MAN/TONY STARK ","INVISIBLE WOMAN/SUE ",114
"IRON MAN/TONY STARK ","QUICKSILVER/PIETRO M",110
"BANSHEE/SEAN CASSIDY","CYCLOPS/SCOTT SUMMER",109
"IRON MAN/TONY STARK ","HUMAN TORCH/JOHNNY S",108
"PATRIOT/JEFF MACE","SUB-MARINER/NAMOR MA",108
"BANSHEE/SEAN CASSIDY","WOLVERINE/LOGAN ",102
"TARR, BLACK JACK","SHANG-CHI",102
"BANSHEE/SEAN CASSIDY","STORM/ORORO MUNROE S",101
"SPIDER-MAN CLONE/BEN","SPIDER-MAN/PETER PAR",98
"IRON MAN/TONY STARK ","SPIDER-MAN/PETER PAR",94
"BANSHEE/SEAN CASSIDY","JUBILEE/JUBILATION L",93
"IRON MAN/TONY STARK ","SHE-HULK/JENNIFER WA",93
"STACY, GWEN","SPIDER-MAN/PETER PAR",93
"BLACK CAT/FELICIA HA","SPIDER-MAN/PETER PAR",92
"IRON MAN/TONY STARK ","TIGRA/GREER NELSON",87
"IRON MAN/TONY STARK ","HULK/DR. ROBERT BRUC",85
"RESTON, CLIVE","SHANG-CHI",85
"SMITH, SIR DENIS NAY","SHANG-CHI",84
"SPIDER-MAN CLONE/BEN","WATSON-PARKER, MARY ",77
"TARR, BLACK JACK","RESTON, CLIVE",76
"RESTON, CLIVE","TARR, BLACK JACK",76
"TARR, BLACK JACK","SMITH, SIR DENIS NAY",75
"SMITH, SIR DENIS NAY","TARR, BLACK JACK",75
"BANSHEE/SEAN CASSIDY","PROFESSOR X/CHARLES ",74
"IRON MAN/TONY STARK ","MOCKINGBIRD/DR. BARB",74
"TARR, BLACK JACK","WU, LEIKO",74
"RESTON, CLIVE","WU, LEIKO",73
"STACY, GWEN","JAMESON, J. JONAH",71
"IRON MAN/TONY STARK ","SUB-MARINER/NAMOR MA",71
"LIZARD/DR. CURTIS CO","SPIDER-MAN/PETER PAR",68
"WOLFE, SARA","DR. STRANGE/STEPHEN ",64
"PENANCE/MONET ST. CR","JUBILEE/JUBILATION L",63
"SMITH, SIR DENIS NAY","RESTON, CLIVE",63
"RESTON, CLIVE","SMITH, SIR DENIS NAY",63
"IRON MAN/TONY STARK ","SPIDER-WOMAN II/JULI",62
"SMITH, SIR DENIS NAY","WU, LEIKO",61
"IRON MAN/TONY STARK ","CABE, BETHANY",54
"VENOM/EDDIE BROCK","SPIDER-MAN/PETER PAR",54
"IRON MAN/TONY STARK ","DR. STRANGE/STEPHEN ",52
"IRON MAN/TONY STARK ","MOONDRAGON/HEATHER D",50
"IRON MAN/TONY STARK ","JOCASTA",50
"BANSHEE/SEAN CASSIDY","MARVEL GIRL/JEAN GRE",48
"FU MANCHU","SHANG-CHI",48
"BLACK CAT/FELICIA HA","WATSON-PARKER, MARY ",47
"STACY, GWEN","PARKER, MAY",47
"BANSHEE/SEAN CASSIDY","BEAST/HENRY &HANK& P",45
"IRON MAN/TONY STARK ","CRYSTAL [INHUMAN]",44
"BANNON, LANCE","SPIDER-MAN/PETER PAR",43
"SPIDER-MAN CLONE/BEN","JAMESON, J. JONAH",42
"STACY, GWEN","ROBERTSON, JOE",42
"IRON MAN/TONY STARK ","SILVER SURFER/NORRIN",42
"IRON MAN/TONY STARK ","FIRESTAR/ANGELICA JO",42
"STACY, GWEN","WATSON-PARKER, MARY ",41
"SPIDER-MAN CLONE/BEN","ROBERTSON, JOE",41
"JACKAL/MILES WARREN","SPIDER-MAN/PETER PAR",39
"BLACK CAT/FELICIA HA","THOMPSON, EUGENE FLA",37
"BANSHEE/SEAN CASSIDY","ANGEL/WARREN KENNETH",37
"IRON MAN/TONY STARK ","JUSTICE II/VANCE AST",36
"SHA SHAN","SPIDER-MAN/PETER PAR",35
"MUGGINS, MAMIE","SPIDER-MAN/PETER PAR",35
"SHA SHAN","THOMPSON, EUGENE FLA",34
"BANSHEE/SEAN CASSIDY","ICEMAN/ROBERT BOBBY ",34
"SPITFIRE/LADY JACQUE","SUB-MARINER/NAMOR MA",34
"IRON MAN/TONY STARK ","ULTRON",33
"IRON MAN/TONY STARK ","WOLVERINE/LOGAN ",33
"STACY, CAPT. GEORGE","SPIDER-MAN/PETER PAR",33
"VENOM/EDDIE BROCK","WATSON-PARKER, MARY ",32
"IRON MAN/TONY STARK ","ANGEL/WARREN KENNETH",32
"STACY, ARTHUR","SPIDER-MAN/PETER PAR",32
"FU MANCHU","TARR, BLACK JACK",32
"TARR, BLACK JACK","FU MANCHU",32
"IRON MAN/TONY STARK ","ERWIN, CLYTEMNESTRA",32
"STACY, GWEN","THOMPSON, EUGENE FLA",31
"SPITFIRE/LADY JACQUE","CAPTAIN AMERICA",31
"BLACK CAT/FELICIA HA","PARKER, MAY",30
"SPEEDBALL II/DARRION","JUSTICE II/VANCE AST",30
"KAINE","SPIDER-MAN/PETER PAR",30
"STACY, GWEN","LEEDS, BETTY BRANT",29
"IRON MAN/TONY STARK ","PROFESSOR X/CHARLES ",29
"IRON MAN/TONY STARK ","HELLCAT/PATSY WALKER",29
"BLESSING, MORGANA","DR. STRANGE/STEPHEN ",29
"FU MANCHU","SMITH, SIR DENIS NAY",29
"SMITH, SIR DENIS NAY","FU MANCHU",29
"BLACK CAT/FELICIA HA","ROBERTSON, JOE",28
"CHANG, IMEI","DR. STRANGE/STEPHEN ",28
"NIGHTMARE/EDVARD HAB","DR. STRANGE/STEPHEN ",28
"IRON MAN/TONY STARK ","LOKI [ASGARDIAN]",28
"IRON MAN/TONY STARK ","CYCLOPS/SCOTT SUMMER",28
"RICHARDS, NATHANIEL","INVISIBLE WOMAN/SUE ",28
"IRON MAN/TONY STARK ","JAMESON, J. JONAH",27
"STACY, GWEN","WATSON, ANNA",27
"LIZARD/DR. CURTIS CO","WATSON-PARKER, MARY ",27
"CLOUD","GARGOYLE II/ISAAC CH",26
"IRON MAN/TONY STARK ","ICEMAN/ROBERT BOBBY ",26
"STACY, CAPT. GEORGE","JAMESON, J. JONAH",26
"JACKAL/MILES WARREN","WATSON-PARKER, MARY ",26
"KAINE","WATSON-PARKER, MARY ",26
"SPEEDBALL II/DARRION","FIRESTAR/ANGELICA JO",26
"IRON MAN/TONY STARK ","ZIMMER, ABE",26
"CLOUD","ICEMAN/ROBERT BOBBY ",25
"BLACK CAT/FELICIA HA","JAMESON, J. JONAH",25
"CLOUD","BEAST/HENRY &HANK& P",25
"RICHARDS, NATHANIEL","THING/BENJAMIN J. GR",25
"BANSHEE/SEAN CASSIDY","PSYLOCKE/ELISABETH B",25
"RICHARDS, NATHANIEL","HUMAN TORCH/JOHNNY S",24
"JACKAL/MILES WARREN","JAMESON, J. JONAH",24
"GATEWAY","WOLVERINE/LOGAN ",24
"TOMBSTONE/LONNIE THO","SPIDER-MAN/PETER PAR",24
"LIZARD/DR. CURTIS CO","JAMESON, J. JONAH",23
"BANNON, LANCE","JAMESON, J. JONAH",23
"BANNON, LANCE","ROBERTSON, JOE",23
"CLOUD","NORRISS, SISTER BARB",23
"IRON MAN/TONY STARK ","MARVEL GIRL/JEAN GRE",23
"HINDSIGHT LAD/CARLTO","JUSTICE II/VANCE AST",23
"FOREIGNER/RAFAEL BAS","SPIDER-MAN/PETER PAR",23
"VIBRAXAS/N'KANO","BLACK PANTHER/T'CHAL",23
"BANNON, LANCE","WATSON-PARKER, MARY ",22
